Description,Qty,URL
heatsinks,4,https://www.mouser.com/ProductDetail/Same+AC0-Sky/HSS+AC0-B20+AC0-NP+AC0-12?qs+AD0-u4fy+ACU-2FsgLU9Mva+ACU-2Fp9+ACU-252ByZBdw+ACU-3D+ACU-3D
m3 bolts,1,https://www.homedepot.com/p/Hillman+AC0-M3+AC0-0+AC0-5+AC0-x+AC0-10+AC0-mm+AC0-Internal+AC0-Hex+AC0-Button+AC0-Head+AC0-Cap+AC0-Screws+AC0-20+AC0-Pack+AC0-44456/204801187
m3 nuts,1,https://www.homedepot.com/p/Hillman+AC0-Metric+AC0-Hex+AC0-Nuts+AC0-M3+AC0-x+AC0-0+AC0-50+AC0-Coarse+AC0-Thread+AC0-4053/204801247
fuse holder,1,https://www.mouser.com/ProductDetail/Eaton+AC0-Electronics/BK+AC0-1A5601?qs+AD0-sfCJykTDjbAGESUvg+ACU-2FlMZw+ACU-3D+ACU-3D
fuses,2,https://www.mouser.com/ProductDetail/Schurter/0034.1519?qs+AD0-ar9f0rk5DXBZIZv2oGoEHA+ACU-3D+ACU-3D
red terminal post,2,https://www.mouser.com/ProductDetail/SparkFun/PRT+AC0-09739?qs+AD0-WyAARYrbSnb2d3ZiFmZgWQ+ACU-3D+ACU-3D
black terminal post,2,https://www.mouser.com/ProductDetail/SparkFun/PRT+AC0-09740?qs+AD0-WyAARYrbSnbVb9GdE8xnVA+ACU-3D+ACU-3D
internal phoenix connector 3pin,2,https://www.mouser.com/ProductDetail/Phoenix+AC0-Contact/1757022?qs+AD0-sGAEpiMZZMvlX3nhDDO4ANTLkcKs1Zj3jcphtS8o9Tk+ACU-3D
internal phoenix connector 4pin,2,https://www.mouser.com/ProductDetail/Phoenix+AC0-Contact/1757035?qs+AD0-sGAEpiMZZMvlX3nhDDO4AH7PhxHWF+ACU-252BlKb5jy+ACU-252B+ACU-2F+ACU-252BeCXE+ACU-3D
fan,1,https://a.co/d/h5aS2CF
dip16 socket,1,https://www.mouser.com/ProductDetail/TE+AC0-Connectivity/1+AC0-2199298+AC0-4?qs+AD0-fK8dlpkaUMvpL10rY9Abiw+ACU-3D+ACU-3D
36v psu,1,https://www.mouser.com/ProductDetail/MEAN+AC0-WELL/LRS+AC0-150+AC0-36?qs+AD0-vDxCgdWo2h82V5jS5IXvUQ+ACU-3D+ACU-3D
+//0-5v psu,1,https://www.mouser.com/ProductDetail/MEAN+AC0-WELL/PD+AC0-2505?qs+AD0-V9a8iPeg90ze2O5SXmOiQQ+ACU-3D+ACU-3D
oled display,1,https://a.co/d/fhCKttE
